City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
256,Katsuura,JP,35.1333,140.3,41.14,55,96,11.25,overcast clouds
257,Caledon,ZA,-34.23,19.4265,71.17,80,99,8.81,overcast clouds
258,Vinukonda,IN,16.05,79.75,67.86,96,22,2.95,few clouds
259,Olinda,BR,-8.0089,-34.8553,82.13,74,40,8.05,scattered clouds
260,Buchanan,LR,5.8808,-10.0467,78.76,84,18,6.85,moderate rain
261,Portoferraio,IT,42.8115,10.3146,45.57,47,0,19.98,clear sky
262,Portland,US,45.5234,-122.6762,63.19,64,75,4.0,broken clouds
263,Nagorsk,RU,59.3172,50.8078,-7.73,98,7,3.11,clear sky
264,Micheweni,TZ,-4.9667,39.8333,81.1,77,9,14.81,clear sky
265,Harrisburg,US,40.2737,-76.8844,41.16,62,0,3.0,clear sky
266,Balakirevo,RU,56.5059,38.8432,-7.42,100,91,4.07,overcast clouds
267,Zhenlai,CN,45.8495,123.2973,-14.62,98,12,2.89,few clouds
268,Jalu,LY,29.0331,21.5482,55.26,58,95,7.94,overcast clouds
269,Dauriya,RU,49.9333,116.8667,-17.03,100,28,2.08,scattered clouds
270,Donghai,CN,22.9459,115.642,58.95,68,83,4.36,broken clouds
271,Spalding,US,33.2668,-84.2833,56.21,35,0,0.0,clear sky
272,Boyolangu,ID,-8.1181,111.8935,74.07,94,100,3.47,overcast clouds
273,Nikolskoye,RU,59.7035,30.7861,22.87,93,99,10.71,overcast clouds
274,Gravdal,NO,68.1214,13.5031,37.29,75,75,23.02,broken clouds
275,Mount Gambier,AU,-37.8333,140.7667,67.91,77,40,8.05,scattered clouds
276,Kahului,US,20.8947,-156.47,82.42,74,40,5.75,scattered clouds
277,Sai Buri,TH,6.7013,101.6168,77.97,73,94,9.24,overcast clouds
278,Lakeway,US,30.3638,-97.9796,66.87,45,1,1.99,clear sky
279,San Patricio,US,28.017,-97.5169,64.49,58,100,4.18,overcast clouds
280,Fort Smith,US,35.3859,-94.3986,62.65,41,0,10.36,clear sky
281,La Solana,ES,38.9442,-3.2381,40.42,67,0,12.08,clear sky
282,Turukhansk,RU,65.8167,87.9833,-25.78,99,100,7.52,overcast clouds
283,Lagoa,PT,39.05,-27.9833,60.76,77,100,18.54,overcast clouds
284,Makakilo City,US,21.3469,-158.0858,79.12,57,0,8.05,clear sky
285,Havelock,US,34.8791,-76.9013,57.06,68,0,10.36,clear sky
286,Zhigansk,RU,66.7697,123.3711,-24.48,99,100,8.88,overcast clouds
287,Fonte Boa,BR,-2.4959,-66.2662,82.36,78,98,2.89,overcast clouds
288,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,scattered clouds
289,Penalva,BR,-3.2942,-45.1736,74.43,95,74,3.24,broken clouds
290,Jatai,BR,-17.8814,-51.7144,68.99,91,88,8.46,overcast clouds
291,Altoona,US,40.5187,-78.3947,43.81,54,60,7.0,broken clouds
292,Mendoza,AR,-32.8908,-68.8272,101.73,25,40,17.27,scattered clouds
293,Conde,BR,-7.2597,-34.9075,80.06,78,20,8.05,few clouds
294,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
295,San Jose,US,37.3394,-121.895,70.72,52,20,1.01,few clouds
296,Minab,IR,27.1467,57.0801,56.7,69,0,1.92,clear sky
297,Ancud,CL,-41.8697,-73.8203,74.43,67,0,10.58,clear sky
298,Yinchuan,CN,38.4681,106.2731,18.36,43,0,2.55,clear sky
299,Hasaki,JP,35.7333,140.8333,37.8,46,99,9.37,overcast clouds
300,Ler,SS,8.3018,30.1418,85.62,30,86,2.1,overcast clouds
301,Ambanja,MG,-13.6833,48.45,76.55,92,100,3.13,overcast clouds
302,Aksu,CN,41.1231,80.2644,21.6,59,40,2.3,scattered clouds
303,Muncar,ID,-8.4333,114.3333,75.92,88,100,1.05,overcast clouds
304,Leningradskiy,RU,69.3833,178.4167,-21.51,96,33,3.8,scattered clouds
305,Codrington,AU,-38.2667,141.9667,68.25,80,100,11.03,light rain
306,Smithers,CA,54.7804,-127.1743,32.32,100,100,2.3,mist
307,Umm Lajj,SA,25.0213,37.2685,73.04,53,76,6.44,broken clouds
308,Baykit,RU,61.67,96.37,-24.43,100,87,2.35,overcast clouds
309,Vestmannaeyjar,IS,63.4427,-20.2734,39.0,73,100,34.87,overcast clouds
310,Alugan,PH,12.2188,125.4808,77.45,74,96,16.89,overcast clouds
311,Coquimbo,CL,-29.9533,-71.3436,69.53,73,20,12.66,few clouds
312,Mastung,PK,29.7994,66.845,37.81,58,0,3.18,clear sky
313,Sistranda,NO,63.7256,8.834,46.9,90,100,47.74,overcast clouds
314,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,75,40,4.0,scattered clouds
315,Sinnamary,GF,5.3833,-52.95,77.23,83,15,6.62,few clouds
316,Chapais,CA,49.7834,-74.8492,-2.42,97,98,4.41,overcast clouds
317,Lidzbark Warminski,PL,54.1259,20.5795,29.71,97,94,13.71,overcast clouds
318,Vardo,NO,70.3705,31.1107,35.8,93,100,32.21,overcast clouds
319,Qujing,CN,25.4833,103.7833,45.07,89,82,4.59,broken clouds
320,Mokhotlong,LS,-29.2894,29.0675,57.9,91,87,3.44,light rain
321,Narsaq,GL,60.9167,-46.05,8.82,82,26,3.91,scattered clouds
322,Miraflores,MX,19.2167,-98.8083,68.65,37,28,5.99,scattered clouds
323,Udachnyy,RU,66.4167,112.4,-29.52,100,99,2.28,overcast clouds
324,Uvat,RU,59.1433,68.8953,-4.63,99,57,4.85,broken clouds
325,Weinan,CN,34.5036,109.5089,31.69,36,100,3.78,overcast clouds
326,Sakaiminato,JP,35.55,133.2333,39.18,70,75,14.97,broken clouds
327,Khasan,RU,42.4308,130.6434,13.53,59,24,21.94,few clouds
328,Avera,US,33.194,-82.5271,58.51,48,28,2.19,scattered clouds
329,Najran,SA,17.4924,44.1277,59.65,34,5,1.16,clear sky
330,Evensk,RU,61.95,159.2333,-4.5,79,35,9.78,scattered clouds
331,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,78,40,17.27,scattered clouds
332,Roald,NO,62.5833,6.1333,49.33,93,100,39.12,overcast clouds
333,Jumla,NP,29.2747,82.1838,26.29,64,17,6.08,few clouds
334,Kawalu,ID,-7.3817,108.2082,71.4,95,100,3.18,overcast clouds
335,Siuri,IN,23.9167,87.5333,62.98,90,33,4.56,scattered clouds
336,Dwarka,IN,22.2394,68.9678,65.03,49,2,12.88,clear sky
337,Jurm,AF,36.8648,70.8342,29.61,61,100,4.03,overcast clouds
338,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,73,75,8.95,broken clouds
339,Svetlaya,RU,46.5389,138.3297,11.62,86,100,12.24,overcast clouds
340,Mabaruma,GY,8.2,-59.7833,74.12,88,62,4.25,broken clouds
341,Tasiilaq,GL,65.6145,-37.6368,19.56,75,81,9.04,broken clouds
342,Waitati,NZ,-45.75,170.5667,58.32,54,29,9.22,scattered clouds
343,Kainantu,PG,-6.2887,145.8655,63.46,93,98,2.21,overcast clouds
344,Clyde River,CA,70.4692,-68.5914,-28.97,75,0,4.61,clear sky
