City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
659,Sayula,MX,76.17,broken clouds,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
660,Brownwood,US,87.8,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
661,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
662,Abonnema,NG,74.71,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
663,Atlantic City,US,76.01,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
664,Cairns,AU,72.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
667,Tarauaca,BR,76.71,broken clouds,-8.1614,-70.7656,Flat Temporada
668,Parli,IN,74.52,overcast clouds,18.8486,76.5297,Hotel Arya Executive
673,Shimoda,JP,70.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
674,San Pedro,PH,83.16,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
676,Taybad,IR,73.94,clear sky,34.74,60.7756,لی پوش jean center
680,Kibala,TD,78.75,light rain,9.1104,18.3463,hotel safari
681,San Quintin,MX,75.22,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
682,Yantzaza,EC,71.47,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
683,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
684,Mecca,SA,85.59,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
685,Sao Felix Do Xingu,BR,84.25,broken clouds,-6.6447,-51.995,Rio Xingu Camping
686,Huehuetoca,MX,75.78,overcast clouds,19.8489,-99.2042,SAY SYSTEM
687,Buluang,PH,76.39,few clouds,13.3068,123.3425,Enon Beach Resort
692,Key West,US,87.8,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
693,Hargeysa,SO,72.16,broken clouds,9.56,44.065,City Center Hotel
694,Casablanca,MA,71.33,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
698,Nagtipunan,PH,72.23,broken clouds,16.2167,121.6,D' Fields Travellers Place
702,Hoi An,VN,76.96,light rain,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
703,Les Cayes,HT,86.16,broken clouds,18.2,-73.75,Villa Orphee
705,Poum,NC,70.84,overcast clouds,-20.2333,164.0167,Gîte kajeon
709,Campestre,BR,77.45,overcast clouds,-21.7111,-46.2464,O Precinho
