City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Pisco,PE,2021-09-22 18:14:44,-13.7,-76.2167,66.25,72,0,8.05
152,Kisangani,CD,2021-09-22 18:19:40,0.5167,25.2,78.89,61,23,0.27
153,Road Town,VG,2021-09-22 18:14:53,18.4167,-64.6167,89.64,66,20,8.05
154,Camrose,CA,2021-09-22 18:15:03,53.0168,-112.8353,60.39,47,99,11.97
155,Thompson,CA,2021-09-22 18:19:42,55.7435,-97.8558,55.56,82,90,2.3
156,Juquitiba,BR,2021-09-22 18:19:42,-23.9317,-47.0683,60.28,82,79,8.63
157,Bucerias,MX,2021-09-22 18:19:43,20.75,-105.3333,88.99,74,90,3.44
158,Lorengau,PG,2021-09-22 18:19:43,-2.0226,147.2712,79.57,81,85,3.96
159,Longyearbyen,SJ,2021-09-22 18:17:08,78.2186,15.6401,40.84,75,75,24.16
160,Norman Wells,CA,2021-09-22 18:19:44,65.282,-126.8329,35.64,93,90,11.5
161,Bridlington,GB,2021-09-22 18:19:44,54.0831,-0.1919,66.38,71,22,14.94
162,Kismayo,SO,2021-09-22 18:19:45,-0.3582,42.5454,77.81,83,8,16.04
163,Hadejia,NG,2021-09-22 18:19:45,12.4498,10.0444,75.31,79,100,6.69
164,Severobaykalsk,RU,2021-09-22 18:19:46,55.65,109.3167,42.31,69,93,7.11
165,Sikasso,ML,2021-09-22 18:19:46,10.9167,-7.0,82.81,71,59,2.51
166,Vanimo,PG,2021-09-22 18:19:47,-2.6741,141.3028,77.11,91,99,4.79
167,Ereymentau,KZ,2021-09-22 18:19:48,51.6199,73.1033,43.03,51,100,7.34
168,Florianopolis,BR,2021-09-22 18:16:49,-27.6146,-48.5012,67.23,43,40,16.11
169,Sungaipenuh,ID,2021-09-22 18:19:48,-2.0833,101.3833,65.61,97,95,2.35
170,Sabang,ID,2021-09-22 18:17:08,5.8933,95.3214,82.04,77,99,13.18
171,Monzon,ES,2021-09-22 18:19:49,41.9108,0.1941,67.44,52,15,3.31
172,Nikolskoye,RU,2021-09-22 18:19:50,59.7035,30.7861,44.49,71,89,4.45
173,Macau,MO,2021-09-22 18:19:50,22.2006,113.5461,85.73,84,20,13.8
174,Langenau,DE,2021-09-22 18:19:51,48.4962,10.1185,56.25,84,65,5.7
175,Abaetetuba,BR,2021-09-22 18:19:51,-1.7181,-48.8825,86.04,61,55,7.11
176,Ayorou,NE,2021-09-22 18:19:52,14.7308,0.9174,97.68,29,43,9.82
177,Ponta Do Sol,PT,2021-09-22 18:19:52,32.6667,-17.1,74.03,53,100,2.35
178,Zaltan,LY,2021-09-22 18:19:53,32.947,11.8665,80.8,80,38,10.54
179,Horki,BY,2021-09-22 18:19:54,54.2861,30.9842,38.98,97,100,6.06
180,Foam Lake,CA,2021-09-22 18:18:33,51.65,-103.5343,71.62,23,14,12.41
181,Tuktoyaktuk,CA,2021-09-22 18:19:54,69.4541,-133.0374,37.4,65,75,13.8
182,Bima,ID,2021-09-22 18:19:55,-8.4667,118.7167,76.71,80,100,3.53
183,Shimoda,JP,2021-09-22 18:19:56,34.6667,138.95,75.31,90,100,15.55
184,Leningradskiy,RU,2021-09-22 18:19:56,69.3833,178.4167,17.73,77,58,8.08
185,North Bend,US,2021-09-22 18:19:57,43.4065,-124.2243,69.24,75,75,0.0
186,Taltal,CL,2021-09-22 18:16:27,-25.4,-70.4833,64.44,62,2,9.44
187,Sobolevo,RU,2021-09-22 18:19:58,54.4299,31.8996,38.17,98,100,5.12
188,Mundo Nuevo,MX,2021-09-22 18:19:59,18.7,-95.5,82.87,75,86,11.1
189,Talnakh,RU,2021-09-22 18:20:00,69.4865,88.3972,34.32,79,100,11.61
190,Vryburg,ZA,2021-09-22 18:20:00,-26.9566,24.7284,63.1,44,3,11.05
191,Husavik,IS,2021-09-22 18:20:01,66.0449,-17.3389,44.51,86,99,8.28
192,Blagoyevo,RU,2021-09-22 18:20:02,63.3667,47.9167,37.69,92,20,4.83
193,Pavelets,RU,2021-09-22 18:20:03,53.7883,39.246,48.11,91,100,2.62
194,Balabac,PH,2021-09-22 18:20:04,7.9868,117.0645,79.52,81,100,4.72
195,Yerbogachen,RU,2021-09-22 18:20:04,61.2767,108.0108,33.28,79,53,3.33
196,Hithadhoo,MV,2021-09-22 18:16:48,-0.6,73.0833,81.7,76,99,16.04
197,Kyabe,TD,2021-09-22 18:17:23,9.4515,18.9449,75.69,88,100,1.68
198,Xining,CN,2021-09-22 18:15:17,36.6167,101.7667,50.41,77,3,3.65
199,Veraval,IN,2021-09-22 18:20:06,20.9,70.3667,81.37,79,98,12.39
200,Bengkulu,ID,2021-09-22 18:19:05,-3.8004,102.2655,76.05,91,85,3.53
201,Avera,US,2021-09-22 18:20:06,33.194,-82.5271,86.68,58,7,10.2
202,San Quintin,MX,2021-09-22 18:20:07,30.4833,-115.95,81.32,57,5,7.36
203,Filadelfia,US,2021-09-22 18:16:05,39.9523,-75.1638,84.45,67,75,5.01
204,Finschhafen,PG,2021-09-22 18:20:08,-6.6024,147.8681,75.33,94,100,8.01
205,Makurdi,NG,2021-09-22 18:20:08,7.7411,8.5121,72.16,96,100,2.21
206,Cabo San Lucas,MX,2021-09-22 18:17:01,22.8909,-109.9124,92.52,62,1,0.0
207,Dalby,AU,2021-09-22 18:20:10,-27.1833,151.2667,37.98,69,0,3.98
208,Tasiilaq,GL,2021-09-22 18:20:11,65.6145,-37.6368,37.56,55,0,4.21
209,Bardiyah,LY,2021-09-22 18:20:11,31.7561,25.0865,78.35,74,0,16.51
210,Hidrolandia,BR,2021-09-22 18:20:12,-4.4081,-40.4378,101.66,19,13,4.9
211,Purna,IN,2021-09-22 18:20:12,19.1833,77.05,74.84,93,100,6.31
212,Tarrafal,CV,2021-09-22 18:20:13,15.2833,-23.7667,86.79,81,65,12.75
213,Mandalgovi,MN,2021-09-22 18:20:13,45.7625,106.2708,48.36,57,68,12.95
214,Gondanglegi,ID,2021-09-22 18:20:14,-7.7479,112.0132,76.3,82,50,6.91
215,Kavieng,PG,2021-09-22 18:17:10,-2.5744,150.7967,80.35,82,100,13.38
216,Antalaha,MG,2021-09-22 18:17:14,-14.9003,50.2788,68.59,84,35,8.86
217,Touros,BR,2021-09-22 18:19:00,-5.1989,-35.4608,86.9,64,41,11.54
218,Ketchikan,US,2021-09-22 18:18:36,55.3422,-131.6461,50.47,72,94,6.71
219,Lingig,PH,2021-09-22 18:20:15,8.0389,126.4125,76.73,87,80,3.04
220,Nanortalik,GL,2021-09-22 18:20:16,60.1432,-45.2371,41.63,78,98,0.6
221,Nizhnyaya Poyma,RU,2021-09-22 18:20:16,56.1622,97.1933,38.05,94,100,5.01
222,Vanavara,RU,2021-09-22 18:19:51,60.34,102.2797,34.95,99,98,4.74
223,Rampura,IN,2021-09-22 18:20:17,30.25,75.2333,75.25,91,65,6.15
224,Kirakira,SB,2021-09-22 18:20:17,-10.4544,161.9205,77.36,84,87,4.63
225,Lavrentiya,RU,2021-09-22 18:20:18,65.5833,-171.0,30.15,73,17,7.9
226,Timizart,DZ,2021-09-22 18:20:19,36.8,4.2667,74.91,65,78,10.36
227,Teguise,ES,2021-09-22 18:20:19,29.0605,-13.564,73.62,61,20,14.97
